,Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
54,1959,1,1,,,,2.48,7.7,6.0,1.7
55,1959,2,1,,,,2.43,,5.9,1.7
56,1959,3,1,,,,2.8,,5.6,1.7
57,1959,4,1,,,,2.96,10.1,5.2,1.7
58,1959,5,1,,,,2.9,,5.1,2.0
59,1959,6,1,,,,3.39,,5.0,2.0
60,1959,7,1,,,,3.47,-0.8,5.1,2.0
61,1959,8,1,,,,3.5,,5.2,2.0
62,1959,9,1,,,,3.76,,5.5,2.4
63,1959,10,1,,,,3.98,1.6,5.7,2.7
64,1959,11,1,,,,4.0,,5.8,2.0
65,1959,12,1,,,,3.99,,5.3,2.0
66,1960,1,1,,,,3.99,9.2,5.2,2.0
67,1960,2,1,,,,3.97,,4.8,2.3
68,1960,3,1,,,,3.84,,5.4,2.0
69,1960,4,1,,,,3.92,-1.5,5.2,2.0
70,1960,5,1,,,,3.85,,5.1,1.7
71,1960,6,1,,,,3.32,,5.4,1.7
72,1960,7,1,,,,3.23,1.0,5.5,1.3
73,1960,8,1,,,,2.98,,5.6,1.3
74,1960,9,1,,,,2.6,,5.5,1.0
75,1960,10,1,,,,2.47,-4.8,6.1,1.0
76,1960,11,1,,,,2.44,,6.1,1.0
77,1960,12,1,,,,1.98,,6.6,1.0
78,1961,1,1,,,,1.45,2.7,6.6,1.0
79,1961,2,1,,,,2.54,,6.9,0.7
80,1961,3,1,,,,2.02,,6.9,0.7
81,1961,4,1,,,,1.49,7.6,7.0,1.0
82,1961,5,1,,,,1.98,,7.1,1.0
83,1961,6,1,,,,1.73,,6.9,1.0
84,1961,7,1,,,,1.17,6.8,7.0,1.3
85,1961,8,1,,,,2.0,,6.6,1.3
86,1961,9,1,,,,1.88,,6.7,1.6
87,1961,10,1,,,,2.26,8.3,6.5,1.3
88,1961,11,1,,,,2.61,,6.1,1.3
89,1961,12,1,,,,2.33,,6.0,1.3
90,1962,1,1,,,,2.15,7.4,5.8,1.3
91,1962,2,1,,,,2.37,,5.5,1.3
92,1962,3,1,,,,2.85,,5.6,1.6
93,1962,4,1,,,,2.78,4.4,5.6,1.3
94,1962,5,1,,,,2.36,,5.5,1.6
95,1962,6,1,,,,2.68,,5.5,1.6
96,1962,7,1,,,,2.71,3.9,5.4,1.3
97,1962,8,1,,,,2.93,,5.7,1.3
98,1962,9,1,,,,2.9,,5.6,1.3
99,1962,10,1,,,,2.9,1.6,5.4,1.3
100,1962,11,1,,,,2.94,,5.7,1.3
101,1962,12,1,,,,2.93,,5.5,1.3
102,1963,1,1,,,,2.92,4.5,5.7,1.0
103,1963,2,1,,,,3.0,,5.9,1.0
104,1963,3,1,,,,2.98,,5.7,1.0
105,1963,4,1,,,,2.9,5.3,5.7,1.3
106,1963,5,1,,,,3.0,,5.9,1.0
107,1963,6,1,,,,2.99,,5.6,1.3
108,1963,7,1,,,,3.02,8.0,5.6,1.3
109,1963,8,1,,,,3.49,,5.4,1.6
110,1963,9,1,,,,3.48,,5.5,1.3
111,1963,10,1,,,,3.5,2.9,5.5,1.3
112,1963,11,1,,,,3.48,,5.7,1.6
113,1963,12,1,,,,3.38,,5.5,1.6
